"accX","accY","accZ"
[!p[?3;4l[4l>[?1049h[22;0;0t[4l[?1h=[0m(B[1;24r[H[2J]2;[screen -] [H[2J]2;screen]2;[screen 0: ttyACM0] -0.04541016,0.1748047,-1.012939
-0.04492188,0.1750488,-1.008789
-0.04272461,0.1774902,-1.00708
-0.04321289,0.1772461,-1.008301
-0.04418945,0.1765137,-1.01001
-0.04589844,0.1762695,-1.009033
-0.046875,0.1765137,-1.010254
-0.04760742,0.1762695,-1.012939
-0.04858398,0.1765137,-1.015137
-0.04882813,0.177002,-1.015381
-0.04785156,0.1782227,-1.013672
-0.04638672,0.1789551,-1.011719
-0.0456543,0.1779785,-1.010742
-0.0456543,0.177002,-1.010742
-0.04541016,0.1772461,-1.010742
-0.04492188,0.1772461,-1.010254
-0.04541016,0.1767578,-1.010498
-0.04541016,0.1757813,-1.011719
-0.04516602,0.1762695,-1.011719
-0.04541016,0.1772461,-1.012451
-0.04614258,0.177002,-1.013184
-0.04638672,0.1762695,-1.012695
-0.0456543,0.1765137,-1.011719
-0.04467773,0.177002,-1.010498
-0.04516602,0.1774902,-1.009766
-0.04589844,0.177002,-1.010498
-0.0456543,0.1765137,-1.01123
-0.04541016,0.1767578,-1.010498
-0.04614258,0.1767578,-1.010254
-0.04663086,0.1767578,-1.010498
-0.04614258,0.177002,-1.011719
-0.04638672,0.1765137,-1.01123
-0.0456543,0.1767578,-1.011719
-0.04492188,0.1767578,-1.011963
-0.04516602,0.1762695,-1.011719
-0.04541016,0.1760254,-1.011719
-0.04589844,0.1757813,-1.011475
-0.04541016,0.1762695,-1.010498
-0.04492188,0.177002,-1.010742
-0.04541016,0.1762695,-1.010742
-0.04614258,0.1760254,-1.011475
-0.04614258,0.1767578,-1.012207
-0.04589844,0.1772461,-1.011963
-0.04589844,0.1774902,-1.011719
-0.0456543,0.1774902,-1.011963
-0.04589844,0.1767578,-1.011963
-0.0456543,0.1767578,-1.012207
-0.04492188,0.1767578,-1.012451
-0.04541016,0.1760254,-1.011963
-0.04614258,0.1757813,-1.011719
-0.04638672,0.1760254,-1.011719
-0.04614258,0.1762695,-1.01123
-0.0456543,0.1762695,-1.010742
-0.0456543,0.175293,-1.011475
-0.04589844,0.1748047,-1.011719
-0.04589844,0.1755371,-1.011475
-0.04614258,0.177002,-1.010498
-0.04541016,0.1772461,-1.011475
-0.04516602,0.1772461,-1.012207
-0.04589844,0.1767578,-1.011475
-0.04589844,0.1765137,-1.010498
-0.04589844,0.1765137,-1.010254
-0.04614258,0.177002,-1.01123
-0.0456543,0.1772461,-1.010498
-0.04541016,0.1772461,-1.01123
-0.04614258,0.1762695,-1.011963
-0.04638672,0.1757813,-1.011475
-0.04516602,0.1760254,-1.010986
-0.04492188,0.1760254,-1.012207
-0.04541016,0.1762695,-1.012695
-0.04541016,0.1765137,-1.012451
-0.04516602,0.1765137,-1.010986
-0.04638672,0.1765137,-1.010742
-0.04589844,0.177002,-1.01123
-0.04589844,0.1774902,-1.010498
-0.04589844,0.1767578,-1.010498
-0.04589844,0.1765137,-1.010742
-0.04589844,0.177002,-1.011719
-0.0456543,0.1765137,-1.011475
-0.04638672,0.1762695,-1.010742
-0.046875,0.1762695,-1.01123
-0.04663086,0.177002,-1.011963
-0.0456543,0.1767578,-1.010986
-0.04492188,0.1757813,-1.01123
-0.04467773,0.1757813,-1.01123
-0.04516602,0.1760254,-1.01123
-0.04589844,0.1760254,-1.011475
-0.04663086,0.177002,-1.011963
-0.046875,0.1772461,-1.011719
-0.04638672,0.1772461,-1.01123
-0.04589844,0.177002,-1.010986
-0.04638672,0.1765137,-1.011963
-0.04711914,0.1767578,-1.012207
-0.046875,0.1767578,-1.012451
-0.04589844,0.1762695,-1.01123
-0.04589844,0.1767578,-1.010498
-0.04589844,0.177002,-1.010742
-0.04589844,0.1762695,-1.010986
-0.04541016,0.1760254,-1.010742
-0.04541016,0.1762695,-1.01123
-0.04589844,0.1762695,-1.011719
-0.04589844,0.1762695,-1.012451
-0.0456543,0.1757813,-1.012451
-0.04541016,0.1757813,-1.011963
-0.04541016,0.1757813,-1.012207
-0.04589844,0.1757813,-1.012207
-0.04638672,0.1765137,-1.012207
-0.04589844,0.1772461,-1.012207
-0.04589844,0.177002,-1.011719
-0.04638672,0.1765137,-1.011475
-0.04589844,0.1767578,-1.011475
-0.04541016,0.177002,-1.01123
-0.0456543,0.1774902,-1.010742
-0.0456543,0.1772461,-1.011475
-0.04589844,0.1767578,-1.012451
-0.04614258,0.1767578,-1.011719
-0.04614258,0.1762695,-1.010986
-0.04589844,0.1755371,-1.010986
-0.04516602,0.1757813,-1.011475
-0.04516602,0.1760254,-1.011475
-0.04516602,0.1762695,-1.01123
-0.04541016,0.1757813,-1.01123
-0.0456543,0.1755371,-1.01123
-0.0456543,0.1760254,-1.011963
-0.04541016,0.1762695,-1.012207
-0.04589844,0.177002,-1.012207
-0.04638672,0.1772461,-1.011719
-0.04589844,0.1767578,-1.010986
-0.04541016,0.177002,-1.010498
-0.04541016,0.1772461,-1.010498
-0.04541016,0.1767578,-1.010986
-0.0456543,0.1760254,-1.011475
-0.0456543,0.1760254,-1.010986
-0.04589844,0.1762695,-1.010498
-0.0456543,0.1760254,-1.010742
-0.04492188,0.1760254,-1.011475
-0.04516602,0.1767578,-1.012451
-0.0456543,0.1765137,-1.012451
-0.04589844,0.1762695,-1.011475
-0.04589844,0.1765137,-1.010742
-0.0456543,0.1765137,-1.01123
-0.04589844,0.1757813,-1.011719
-0.0456543,0.175293,-1.012207
-0.04541016,0.1755371,-1.011719
-0.04492188,0.1760254,-1.010986
-0.04541016,0.1760254,-1.010986
-0.04614258,0.1762695,-1.011719
-0.04614258,0.1762695,-1.011719
-0.04589844,0.1760254,-1.011963
-0.04614258,0.1760254,-1.012207
-0.04614258,0.1760254,-1.012939
-0.0456543,0.1760254,-1.011963
-0.04492188,0.1757813,-1.010742
-0.04492188,0.1760254,-1.011475
-0.04614258,0.1767578,-1.012207
-0.04711914,0.1772461,-1.012207
-0.04663086,0.1767578,-1.011475
-0.0456543,0.1762695,-1.01123
-0.04516602,0.1767578,-1.011475
-0.04516602,0.1757813,-1.012207
-0.04516602,0.1750488,-1.01123
-0.04492188,0.1757813,-1.010986
-0.04516602,0.1762695,-1.010742
-0.04614258,0.1767578,-1.010986
-0.04589844,0.1772461,-1.010986
-0.04541016,0.177002,-1.011475
-0.0456543,0.1765137,-1.010986
-0.04614258,0.1767578,-1.011475
-0.04638672,0.1767578,-1.011963
-0.04589844,0.1760254,-1.012695
-0.04516602,0.1757813,-1.012695
-0.04443359,0.1765137,-1.010986
-0.04492188,0.1765137,-1.010742
-0.04614258,0.1762695,-1.01123
-0.04541016,0.1760254,-1.010986
-0.04541016,0.1760254,-1.011475
-0.0456543,0.1757813,-1.011475
-0.0456543,0.1757813,-1.011719
-0.0456543,0.1762695,-1.011963
-0.0456543,0.1765137,-1.011475
-0.04614258,0.1767578,-1.012695
-0.04589844,0.1767578,-1.013184
-0.04516602,0.177002,-1.011719
-0.04492188,0.177002,-1.010742
-0.04541016,0.1767578,-1.010986
-0.04541016,0.1765137,-1.010986
-0.04516602,0.1772461,-1.01123
-0.04541016,0.1772461,-1.010498
-0.04516602,0.1767578,-1.011475
-0.0456543,0.177002,-1.011719
-0.04638672,0.1767578,-1.012451
-0.04589844,0.1765137,-1.012939
-0.0456543,0.1762695,-1.011963
-0.04589844,0.1762695,-1.010742
-0.04516602,0.1760254,-1.010498
-0.04394531,0.1755371,-1.010742
-0.04418945,0.1760254,-1.010498
-0.04541016,0.1765137,-1.010742
-0.04541016,0.1765137,-1.011475
-0.04516602,0.1757813,-1.011963
-0.0456543,0.1757813,-1.011963
-0.04760742,0.1767578,-1.011719
-0.046875,0.1767578,-1.012207
-0.04589844,0.177002,-1.013184
-0.04614258,0.177002,-1.012451
-0.04614258,0.1765137,-1.011475
-0.0456543,0.1760254,-1.010498
-0.04492188,0.1757813,-1.010742
-0.04467773,0.1755371,-1.01123
-0.04418945,0.1757813,-1.010254
-0.04467773,0.1760254,-1.009766
-0.04492188,0.1762695,-1.010986
-0.04541016,0.1760254,-1.012207
-0.04614258,0.1762695,-1.013184
-0.04736328,0.1777344,-1.013916
-0.0480957,0.1774902,-1.013428
-0.04736328,0.1767578,-1.012695
-0.04711914,0.1767578,-1.012451
-0.04663086,0.1767578,-1.01123
-0.0456543,0.1765137,-1.01001
-0.04467773,0.1762695,-1.010742
-0.04467773,0.1765137,-1.010254
-0.04492188,0.1767578,-1.010254
